id,disease,location,hospital_name,age_group,treatment_type,budget,total_patient,successful_patients,success_rate,rating
4062,Arthritis,Hoshiarpur,Hoshiarpur City Hospital,Adult,Emergency Care,257764,2032,1237,60.88,4.2
4063,Typhoid,Patiala,Patiala Advanced Medical Centre,Senior Citizen,ICU Care,257198,936,864,92.31,4.5
4064,Tuberculosis,Sangrur,Sangrur City Hospital,Young Adult,ICU Care,256913,1309,797,60.89,4.6
4065,Cancer,Bathinda,Bathinda Multicare Hospital,Child,Physiotherapy,201581,2426,1800,74.2,3.3
4066,Tuberculosis,Khanna,Khanna City Hospital,Young Adult,Counselling,21436,4205,4047,96.24,4.3
4067,Liver Disease,Khanna,Khanna Health Centre,Adult,Vaccination,335876,3803,2766,72.73,3.8
4068,Pneumonia,Muktsar,Muktsar Health Centre,Adult,Surgery,210378,1807,1097,60.71,3.0
4069,Kidney Disease,Firozpur,Firozpur Health Centre,Teenager,Medication,19416,295,251,85.08,2.7
4070,Heart Disease,Pathankot,Pathankot Multicare Hospital,Middle Age,Radiotherapy,329251,1901,1158,60.92,3.7
4071,Hypertension,Abohar,Abohar Multicare Hospital,Adult,Counselling,301953,3431,2701,78.72,5.0
4072,Heart Disease,Sangrur,Sangrur Prime Healthcare,Middle Age,Counselling,265325,1644,1353,82.3,2.7
4073,Heart Disease,Nawanshahr,Nawanshahr Prime Healthcare,Teenager,Dialysis,86371,3755,2923,77.84,4.1
4074,Heart Disease,Ludhiana,Ludhiana Medical Centre,Teenager,Chemotherapy,24584,1112,781,70.23,4.7
4075,Tuberculosis,Firozpur,Firozpur City Hospital,Adult,Emergency Care,241772,886,625,70.54,3.4
4076,Kidney Disease,Khanna,Khanna Multicare Hospital,Middle Age,Medication,438096,2199,1423,64.71,4.8
4077,Arthritis,Tarn Taran,Tarn Taran Health Centre,Middle Age,Medication,181587,618,475,76.86,3.5
4078,Malaria,Ludhiana,Ludhiana City Hospital,Teenager,Chemotherapy,308622,1091,903,82.77,3.8
4079,Typhoid,Firozpur,Firozpur Multicare Hospital,Senior Citizen,Counselling,22639,4831,4038,83.59,3.5
4080,Hypertension,Hoshiarpur,Hoshiarpur Multicare Hospital,Young Adult,Physiotherapy,253321,3252,3203,98.49,3.3
4081,Pneumonia,Kapurthala,Kapurthala Multicare Hospital,Young Adult,Physiotherapy,12766,1235,822,66.56,4.5
4082,Heart Disease,Gurdaspur,Gurdaspur Life Care Hospital,Young Adult,ICU Care,290327,3268,2351,71.94,4.3
4083,Asthma,Pathankot,Pathankot Prime Hospital,Adult,Surgery,162393,3056,1918,62.76,3.1
4084,Thyroid Disorder,Jalandhar,Jalandhar City Hospital,Middle Age,Medication,369616,1299,1168,89.92,4.2
4085,Thyroid Disorder,Tarn Taran,Tarn Taran City Hospital,Young Adult,Surgery,321818,2086,1936,92.81,3.9
4086,Hypertension,Amritsar,Amritsar Medical Point,Child,Radiotherapy,243131,807,740,91.7,3.9
4087,Malaria,Malerkotla,Malerkotla City Hospital,Child,Counselling,426652,1075,1020,94.88,3.3
4088,Heart Disease,Barnala,Barnala Life Care Centre,Young Adult,Emergency Care,219542,4639,3913,84.35,4.2
4089,Hypertension,Hoshiarpur,Hoshiarpur Health Centre,Child,Chemotherapy,142276,693,558,80.52,2.7
4090,Hypertension,Jalandhar,Jalandhar City Hospital,Middle Age,Surgery,168604,129,98,75.97,4.8
4091,Heart Disease,Abohar,Abohar Health Centre,Young Adult,Surgery,238273,4860,4285,88.17,2.5
4092,Diabetes,Firozpur,Firozpur Prime Medical Centre,Middle Age,Dialysis,222092,61,54,88.52,4.4
4093,Typhoid,Ludhiana,Ludhiana Healthcare Centre,Child,Radiotherapy,351335,4173,3442,82.48,3.8
4094,Asthma,Jalandhar,Jalandhar Care Hospital,Child,Radiotherapy,429318,2947,2566,87.07,3.2
4095,Arthritis,Muktsar,Muktsar Health Centre,Teenager,Emergency Care,177030,3919,3579,91.32,3.2
4096,COVID-19,Ludhiana,Ludhiana Advanced Medical Centre,Young Adult,Medication,121645,1809,1545,85.41,3.2
4097,Diabetes,Nawanshahr,Nawanshahr Prime Healthcare,Middle Age,Chemotherapy,134463,922,915,99.24,3.1
4098,Hypertension,Malerkotla,Malerkotla Multicare Hospital,Teenager,Vaccination,162527,630,379,60.16,4.6
4099,Heart Disease,Amritsar,Amritsar Prime Healthcare,Adult,Emergency Care,188811,1964,1244,63.34,4.3
4100,Tuberculosis,Kapurthala,Kapurthala City Hospital,Adult,Vaccination,131581,767,478,62.32,2.7
4101,Cancer,Kapurthala,Kapurthala Prime Healthcare,Young Adult,Radiotherapy,218387,825,579,70.18,3.3
4102,Dengue,Barnala,Barnala City Hospital,Young Adult,Medication,37208,2351,1861,79.16,3.2
4103,Typhoid,Fazilka,Fazilka Prime Hospital,Middle Age,Radiotherapy,464703,4649,3564,76.66,4.4
4104,Kidney Disease,Tarn Taran,Tarn Taran Multicare Hospital,Young Adult,ICU Care,41352,3878,2350,60.6,4.7
4105,Arthritis,Pathankot,Pathankot Prime Hospital,Child,Medication,33079,3785,3230,85.34,2.5
4106,Typhoid,Jalandhar,Jalandhar Healthcare Hospital,Teenager,Emergency Care,169206,4753,4709,99.07,3.3
4107,Asthma,Hoshiarpur,Hoshiarpur Advanced Medical Centre,Child,Emergency Care,281721,895,593,66.26,4.8
4108,Hypertension,Jalandhar,Jalandhar Healthcare Hospital,Middle Age,Vaccination,441284,476,294,61.76,3.2
4109,Thyroid Disorder,Amritsar,Amritsar Multicare Hospital,Child,Radiotherapy,155268,2456,1561,63.56,4.9
4110,Malaria,Moga,Moga Multicare Hospital,Middle Age,Vaccination,239744,2338,1634,69.89,3.1
4111,Cancer,Khanna,Khanna Multicare Hospital,Middle Age,Vaccination,372698,2855,2479,86.83,4.9
4112,Hypertension,Pathankot,Pathankot Life Care Centre,Adult,Medication,434152,1779,1306,73.41,3.4
4113,Pneumonia,Amritsar,Amritsar Health Hospital,Middle Age,Counselling,310978,1525,1308,85.77,4.1
4114,COVID-19,Moga,Moga Health Centre,Adult,Surgery,392815,3962,3703,93.46,4.6
4115,Typhoid,Pathankot,Pathankot City Hospital,Teenager,Counselling,460634,2535,2302,90.81,3.6
4116,Kidney Disease,Bathinda,Bathinda Multicare Hospital,Adult,Physiotherapy,492113,1656,1566,94.57,4.6
4117,Malaria,Fazilka,Fazilka Prime Hospital,Young Adult,Chemotherapy,443091,1306,1273,97.47,4.1
4118,Typhoid,Barnala,Barnala Life Care Centre,Senior Citizen,Surgery,141720,690,537,77.83,3.2
4119,Hypertension,Hoshiarpur,Hoshiarpur Advanced Medical Centre,Adult,Counselling,209743,3657,2262,61.85,3.6
4120,Kidney Disease,Moga,Moga Multicare Hospital,Senior Citizen,Surgery,255447,1925,1482,76.99,3.7
4121,Thyroid Disorder,Bathinda,Bathinda Health Centre,Senior Citizen,Surgery,208728,1166,872,74.79,2.6
4122,Thyroid Disorder,Abohar,Abohar Health Centre,Young Adult,Radiotherapy,211121,2526,1925,76.21,3.0
4123,Diabetes,Rupnagar,Rupnagar Prime Hospital,Child,Radiotherapy,352404,2734,2378,86.98,3.7
4124,COVID-19,Pathankot,Pathankot Life Care Centre,Teenager,Radiotherapy,351770,1133,922,81.38,4.2
4125,Dengue,Patiala,Patiala Advanced Medical Centre,Senior Citizen,Counselling,84123,3016,2468,81.83,2.8
4126,Tuberculosis,Tarn Taran,Tarn Taran City Hospital,Child,Counselling,489398,1472,1281,87.02,5.0
4127,Cancer,Amritsar,Amritsar Health Hospital,Child,Surgery,354816,503,322,64.02,4.5
4128,Dengue,Sangrur,Sangrur City Hospital,Child,Counselling,246001,1627,1551,95.33,3.1
4129,Cancer,Gurdaspur,Gurdaspur Life Care Hospital,Middle Age,Surgery,78041,768,578,75.26,2.5
4130,Cancer,Khanna,Khanna Health Centre,Teenager,ICU Care,452581,2531,2199,86.88,4.9
4131,Arthritis,Rupnagar,Rupnagar City Hospital,Senior Citizen,ICU Care,452059,3366,2998,89.07,2.8
4132,Hypertension,Khanna,Khanna Health Centre,Child,Radiotherapy,353814,2199,1860,84.58,2.8
4133,Cancer,Khanna,Khanna Prime Healthcare,Teenager,Vaccination,453831,3022,2462,81.47,4.3
4134,Heart Disease,Jalandhar,Jalandhar Multicare Centre,Child,ICU Care,291759,1165,1148,98.54,2.8
4135,Arthritis,Sangrur,Sangrur Health Centre,Child,ICU Care,386280,3307,2572,77.77,2.8
4136,Cancer,Barnala,Barnala City Hospital,Senior Citizen,Chemotherapy,439356,288,191,66.32,3.0
4137,COVID-19,Gurdaspur,Gurdaspur City Hospital,Senior Citizen,Vaccination,323531,2005,1636,81.6,3.8
4138,Liver Disease,Faridkot,Faridkot Life Care Centre,Child,Vaccination,449395,3838,3191,83.14,3.2
4139,Asthma,Pathankot,Pathankot Health Centre,Middle Age,Surgery,378826,4732,4342,91.76,3.1
4140,Heart Disease,Mohali,Mohali Prime Medical Centre,Middle Age,Physiotherapy,469262,3345,2937,87.8,4.8
4141,Thyroid Disorder,Mohali,Mohali Multicare Hospital,Middle Age,Chemotherapy,246746,4827,3428,71.02,4.0
4142,Malaria,Nawanshahr,Nawanshahr Multicare Hospital,Teenager,Physiotherapy,169113,1565,1363,87.09,4.4
4143,Cancer,Gurdaspur,Gurdaspur Multicare Hospital,Middle Age,Radiotherapy,403522,2084,2070,99.33,4.8
4144,Arthritis,Tarn Taran,Tarn Taran Prime Hospital,Senior Citizen,ICU Care,233068,4205,2754,65.49,4.7
4145,Pneumonia,Patiala,Patiala City Hospital,Teenager,Chemotherapy,29291,3540,2651,74.89,2.6
4146,Tuberculosis,Abohar,Abohar City Hospital,Middle Age,Emergency Care,256082,747,618,82.73,3.3
4147,Cancer,Moga,Moga Life Care Hospital,Senior Citizen,Medication,409185,3233,2280,70.52,4.4
4148,Thyroid Disorder,Fazilka,Fazilka Prime Hospital,Middle Age,Medication,95036,2969,2962,99.76,2.7
4149,COVID-19,Bathinda,Bathinda Health Centre,Senior Citizen,Radiotherapy,209563,1978,1665,84.18,2.9
4150,Thyroid Disorder,Sangrur,Sangrur Health Centre,Senior Citizen,Vaccination,212235,234,167,71.37,2.9
4151,Pneumonia,Faridkot,Faridkot Life Care Centre,Child,ICU Care,422492,104,73,70.19,4.1
4152,Liver Disease,Moga,Moga Life Care Hospital,Middle Age,Emergency Care,250580,1912,1885,98.59,3.6
4153,Liver Disease,Rupnagar,Rupnagar Health Centre,Young Adult,Emergency Care,452068,4792,3521,73.48,4.4
4154,Pneumonia,Jalandhar,Jalandhar Multicare Centre,Senior Citizen,Emergency Care,146260,749,486,64.89,2.7
4155,Dengue,Khanna,Khanna Health Centre,Adult,Medication,119513,4372,3494,79.92,2.9
4156,Cancer,Moga,Moga Prime Healthcare,Adult,Vaccination,59564,897,620,69.12,3.4
4157,COVID-19,Kapurthala,Kapurthala Multicare Hospital,Teenager,Chemotherapy,114048,300,281,93.67,2.5
4158,Dengue,Ludhiana,Ludhiana Life Hospital,Teenager,Medication,394606,4212,3959,93.99,2.9
4159,Cancer,Mohali,Mohali Life Care Hospital,Middle Age,Physiotherapy,273056,3870,2779,71.81,4.9
4160,Diabetes,Mohali,Mohali City Hospital,Adult,ICU Care,280127,1710,1111,64.97,2.9
4161,COVID-19,Mansa,Mansa Health Centre,Adult,Dialysis,404767,2430,2015,82.92,3.4
4162,Typhoid,Mohali,Mohali Multispeciality Hospital,Teenager,Medication,38582,3729,2283,61.22,3.9
4163,Typhoid,Bathinda,Bathinda Life Care Centre,Young Adult,Surgery,234037,1362,1318,96.77,4.0
4164,Cancer,Sangrur,Sangrur Health Centre,Adult,Dialysis,39719,1336,1136,85.03,3.4
4165,Diabetes,Jalandhar,Jalandhar Care Hospital,Young Adult,Surgery,21966,4254,2787,65.51,4.0
4166,COVID-19,Abohar,Abohar Multicare Hospital,Teenager,Physiotherapy,230063,1466,1091,74.42,4.2
4167,Dengue,Amritsar,Amritsar Prime Healthcare,Child,Emergency Care,75590,1106,786,71.07,3.3
4168,Cancer,Bathinda,Bathinda Medical Point,Middle Age,Chemotherapy,6478,1609,1243,77.25,4.2
4169,Asthma,Tarn Taran,Tarn Taran Multicare Hospital,Adult,Dialysis,428036,1726,1623,94.03,2.8
4170,Heart Disease,Sangrur,Sangrur Life Care Centre,Middle Age,Medication,458230,966,791,81.88,4.3
4171,Dengue,Pathankot,Pathankot City Hospital,Adult,Counselling,207116,4622,3738,80.87,4.3
4172,Asthma,Firozpur,Firozpur City Hospital,Teenager,Medication,138294,3112,2437,78.31,4.8
4173,Dengue,Jalandhar,Jalandhar Care Hospital,Child,Vaccination,209977,2211,1920,86.84,3.7
4174,Pneumonia,Amritsar,Amritsar General Care Hospital,Young Adult,Dialysis,294574,275,177,64.36,3.3
4175,Typhoid,Tarn Taran,Tarn Taran City Hospital,Adult,Radiotherapy,79816,4802,3726,77.59,4.6
4176,Liver Disease,Mohali,Mohali Multispeciality Hospital,Teenager,Radiotherapy,55275,1024,797,77.83,2.5
4177,Liver Disease,Amritsar,Amritsar Medical Point,Middle Age,Vaccination,56755,1648,1113,67.54,3.3
4178,Tuberculosis,Mohali,Mohali Prime Medical Centre,Teenager,Chemotherapy,370069,1382,965,69.83,4.2
4179,Tuberculosis,Kapurthala,Kapurthala City Hospital,Middle Age,ICU Care,106243,3785,3597,95.03,3.6
4180,Tuberculosis,Firozpur,Firozpur Health Centre,Young Adult,Medication,371706,2557,2551,99.77,5.0
4181,COVID-19,Mohali,Mohali Prime Medical Centre,Senior Citizen,Chemotherapy,317378,3032,1914,63.13,4.4
4182,Thyroid Disorder,Jalandhar,Jalandhar City Hospital,Young Adult,Physiotherapy,433380,2709,2279,84.13,3.8
4183,Typhoid,Sangrur,Sangrur Health Centre,Adult,ICU Care,294492,4459,3037,68.11,3.5
4184,Typhoid,Pathankot,Pathankot City Hospital,Young Adult,ICU Care,313051,203,151,74.38,2.5
4185,Thyroid Disorder,Moga,Moga Life Care Hospital,Middle Age,Medication,375513,4907,3908,79.64,2.8
4186,Hypertension,Kapurthala,Kapurthala Prime Healthcare,Young Adult,Physiotherapy,98370,1853,1487,80.25,4.9
4187,Cancer,Faridkot,Faridkot Multicare Hospital,Senior Citizen,Dialysis,317610,1533,965,62.95,3.3
4188,Dengue,Moga,Moga Life Care Hospital,Adult,Dialysis,238264,4112,3694,89.83,4.0
4189,Cancer,Jalandhar,Jalandhar City Hospital,Teenager,Emergency Care,315595,4541,3181,70.05,2.5
4190,Typhoid,Firozpur,Firozpur Multicare Hospital,Adult,Physiotherapy,236814,2098,1590,75.79,4.4
4191,Hypertension,Khanna,Khanna City Hospital,Adult,Medication,293092,4719,4658,98.71,4.6
4192,Thyroid Disorder,Fazilka,Fazilka Prime Hospital,Child,Surgery,465426,2905,2086,71.81,3.0
4193,Dengue,Hoshiarpur,Hoshiarpur City Hospital,Senior Citizen,ICU Care,317010,3129,2001,63.95,2.5
4194,Pneumonia,Fazilka,Fazilka Health Centre,Adult,Vaccination,361913,626,408,65.18,4.2
4195,Diabetes,Tarn Taran,Tarn Taran Health Centre,Senior Citizen,Emergency Care,152200,3248,2164,66.63,4.4
4196,COVID-19,Malerkotla,Malerkotla Health Centre,Middle Age,Counselling,400890,3975,3567,89.74,4.7
4197,Typhoid,Nawanshahr,Nawanshahr Health Centre,Child,Dialysis,369868,3277,2065,63.01,4.8
4198,Kidney Disease,Pathankot,Pathankot Health Centre,Senior Citizen,Emergency Care,397255,4481,3751,83.71,4.2
4199,Tuberculosis,Bathinda,Bathinda Life Care Centre,Senior Citizen,ICU Care,456296,4245,3359,79.13,3.8
4200,Arthritis,Patiala,Patiala Prime Healthcare,Teenager,Counselling,250058,3293,2472,75.07,2.6
4201,Cancer,Rupnagar,Rupnagar City Hospital,Child,Emergency Care,129367,4116,3671,89.19,3.2
4202,Arthritis,Rupnagar,Rupnagar Multicare Hospital,Young Adult,Dialysis,247511,2119,2090,98.63,3.3
4203,Typhoid,Patiala,Patiala Medical Centre,Adult,Counselling,479809,1445,1303,90.17,2.8
4204,Pneumonia,Tarn Taran,Tarn Taran Multicare Hospital,Senior Citizen,Chemotherapy,161090,3752,2977,79.34,5.0
4205,Diabetes,Patiala,Patiala Advanced Medical Centre,Senior Citizen,Radiotherapy,135802,2842,2760,97.11,3.0
4206,Cancer,Nawanshahr,Nawanshahr Multicare Hospital,Senior Citizen,Counselling,393377,493,413,83.77,4.5
4207,Tuberculosis,Abohar,Abohar Prime Hospital,Middle Age,Dialysis,241160,4206,4071,96.79,3.1
4208,Tuberculosis,Khanna,Khanna Prime Healthcare,Adult,ICU Care,42771,3149,2865,90.98,3.8
4209,Cancer,Hoshiarpur,Hoshiarpur Health Centre,Child,Emergency Care,445930,1774,1122,63.25,5.0
4210,Arthritis,Tarn Taran,Tarn Taran City Hospital,Senior Citizen,Emergency Care,249156,3227,2128,65.94,4.7
4211,Tuberculosis,Khanna,Khanna Health Centre,Senior Citizen,Medication,341550,71,57,80.28,3.8
4212,Liver Disease,Hoshiarpur,Hoshiarpur Multicare Hospital,Teenager,Physiotherapy,105006,1666,1512,90.76,3.3
4213,Thyroid Disorder,Amritsar,Amritsar Prime Healthcare,Teenager,Vaccination,309948,4865,4156,85.43,3.4
4214,Cancer,Kapurthala,Kapurthala Multicare Hospital,Child,Physiotherapy,122549,762,527,69.16,4.8
4215,Tuberculosis,Khanna,Khanna Prime Healthcare,Teenager,Physiotherapy,245438,1998,1519,76.03,4.2
4216,Arthritis,Abohar,Abohar Multicare Hospital,Child,Radiotherapy,331667,3740,2563,68.53,3.2
4217,Asthma,Abohar,Abohar City Hospital,Teenager,Physiotherapy,133800,2244,1839,81.95,3.7
4218,Arthritis,Firozpur,Firozpur Prime Medical Centre,Middle Age,Dialysis,469639,323,255,78.95,4.3
4219,Tuberculosis,Faridkot,Faridkot Multicare Hospital,Senior Citizen,Emergency Care,26968,1268,778,61.36,2.6
4220,Pneumonia,Patiala,Patiala General Hospital,Child,Chemotherapy,224203,2582,2092,81.02,4.8
4221,Pneumonia,Moga,Moga Life Care Hospital,Adult,Vaccination,63278,1361,926,68.04,3.9
4222,Hypertension,Pathankot,Pathankot Life Care Centre,Senior Citizen,Physiotherapy,255404,166,152,91.57,3.3
4223,Hypertension,Mansa,Mansa Prime Hospital,Teenager,Physiotherapy,460765,1274,1228,96.39,4.9
4224,Cancer,Tarn Taran,Tarn Taran Health Centre,Senior Citizen,Medication,196196,3213,2533,78.84,3.2
4225,Asthma,Kapurthala,Kapurthala Multicare Hospital,Senior Citizen,Medication,496158,2152,1670,77.6,3.4
4226,Tuberculosis,Faridkot,Faridkot Life Care Centre,Child,Physiotherapy,218851,1788,1412,78.97,3.6
4227,Typhoid,Muktsar,Muktsar Prime Healthcare,Middle Age,Counselling,425484,2602,2004,77.02,3.1
4228,Dengue,Bathinda,Bathinda Prime Healthcare,Teenager,Counselling,384151,4970,3108,62.54,3.2
4229,Diabetes,Sangrur,Sangrur City Hospital,Middle Age,Physiotherapy,369003,2050,1639,79.95,3.9
4230,Dengue,Malerkotla,Malerkotla Health Centre,Middle Age,Medication,101333,1555,1086,69.84,2.7
4231,Tuberculosis,Mansa,Mansa Multicare Hospital,Senior Citizen,Medication,214930,903,775,85.83,4.4
4232,Cancer,Ludhiana,Ludhiana Healthcare Centre,Adult,Medication,486132,599,446,74.46,4.2
4233,Diabetes,Mohali,Mohali Multispeciality Hospital,Teenager,Counselling,449776,1760,1314,74.66,3.3
4234,Dengue,Ludhiana,Ludhiana Advanced Medical Centre,Middle Age,Emergency Care,473738,1390,951,68.42,3.5
4235,Kidney Disease,Malerkotla,Malerkotla City Hospital,Senior Citizen,Chemotherapy,364591,1996,1970,98.7,4.2
4236,COVID-19,Pathankot,Pathankot Life Care Centre,Senior Citizen,Surgery,393304,4934,3282,66.52,3.9
4237,Heart Disease,Barnala,Barnala Life Care Centre,Child,Medication,450697,2812,2146,76.32,2.6
4238,Heart Disease,Jalandhar,Jalandhar Multicare Centre,Adult,Medication,458976,505,446,88.32,2.8
4239,Asthma,Bathinda,Bathinda Life Care Centre,Senior Citizen,Emergency Care,238031,2341,1590,67.92,3.6
4240,Pneumonia,Ludhiana,Ludhiana Life Hospital,Middle Age,ICU Care,174948,4072,3948,96.95,3.9
4241,Thyroid Disorder,Mansa,Mansa Health Centre,Middle Age,Physiotherapy,37578,3328,2392,71.88,2.9
4242,Hypertension,Abohar,Abohar City Hospital,Teenager,Vaccination,307473,4583,2857,62.34,4.8
4243,COVID-19,Gurdaspur,Gurdaspur Prime Healthcare,Adult,Dialysis,268858,4798,3541,73.8,2.8
4244,Dengue,Gurdaspur,Gurdaspur Prime Healthcare,Child,Counselling,223605,209,207,99.04,3.6
4245,Heart Disease,Gurdaspur,Gurdaspur Prime Healthcare,Senior Citizen,Radiotherapy,485675,2856,2075,72.65,3.4
4246,Kidney Disease,Hoshiarpur,Hoshiarpur Multicare Hospital,Adult,Radiotherapy,251034,4103,3582,87.3,4.8
4247,Typhoid,Gurdaspur,Gurdaspur City Hospital,Child,Counselling,147912,3462,2728,78.8,3.7
4248,Dengue,Mansa,Mansa City Hospital,Child,Physiotherapy,479418,4260,3580,84.04,4.0
4249,Pneumonia,Bathinda,Bathinda Life Care Centre,Teenager,Vaccination,278915,552,534,96.74,4.0
4250,Thyroid Disorder,Fazilka,Fazilka Health Centre,Adult,Surgery,375904,3143,2411,76.71,2.8
4251,Tuberculosis,Amritsar,Amritsar Health Hospital,Teenager,Emergency Care,44076,4276,3433,80.29,2.6
4252,Kidney Disease,Barnala,Barnala Prime Hospital,Middle Age,Medication,421755,1698,1094,64.43,4.2
4253,Dengue,Tarn Taran,Tarn Taran Prime Hospital,Young Adult,Emergency Care,461101,4778,4582,95.9,3.4
4254,Typhoid,Jalandhar,Jalandhar Multicare Centre,Middle Age,ICU Care,105090,1059,724,68.37,4.4
4255,Kidney Disease,Gurdaspur,Gurdaspur Health Centre,Senior Citizen,Dialysis,129897,3106,2416,77.78,2.7
4256,Hypertension,Barnala,Barnala City Hospital,Middle Age,Counselling,49879,4607,4158,90.25,3.2
4257,Typhoid,Amritsar,Amritsar General Care Hospital,Child,Surgery,252087,59,57,96.61,3.8
4258,Typhoid,Malerkotla,Malerkotla Prime Healthcare,Child,Dialysis,94417,372,345,92.74,3.7
4259,Typhoid,Patiala,Patiala Medical Centre,Young Adult,Medication,154412,1902,1371,72.08,3.6
4260,COVID-19,Kapurthala,Kapurthala Multicare Hospital,Adult,Counselling,203866,3761,3688,98.06,2.9
4261,Hypertension,Firozpur,Firozpur Prime Medical Centre,Senior Citizen,Medication,176716,601,383,63.73,2.6
4262,Diabetes,Rupnagar,Rupnagar City Hospital,Senior Citizen,Emergency Care,31736,919,805,87.6,3.9
4263,COVID-19,Moga,Moga City Hospital,Teenager,Medication,200152,443,303,68.4,3.4
4264,Typhoid,Firozpur,Firozpur Life Care Hospital,Teenager,Chemotherapy,373747,1488,925,62.16,2.7
4265,Liver Disease,Khanna,Khanna Health Centre,Adult,Dialysis,479201,4990,3963,79.42,3.2
4266,Cancer,Mansa,Mansa Multicare Hospital,Teenager,Counselling,226386,2682,2533,94.44,4.4
4267,Tuberculosis,Gurdaspur,Gurdaspur Health Centre,Teenager,Vaccination,352658,2162,1982,91.67,4.1
4268,Hypertension,Ludhiana,Ludhiana Prime Hospital,Adult,Radiotherapy,64247,2910,2178,74.85,3.6
4269,Hypertension,Ludhiana,Ludhiana Life Hospital,Teenager,Chemotherapy,245431,1932,1613,83.49,4.5
4270,Arthritis,Barnala,Barnala Life Care Centre,Senior Citizen,Counselling,239508,3157,2986,94.58,2.8
4271,Arthritis,Khanna,Khanna Prime Healthcare,Child,ICU Care,172893,2863,2733,95.46,4.4
4272,Liver Disease,Mansa,Mansa Multicare Hospital,Senior Citizen,Medication,424398,3025,2881,95.24,3.2
4273,Kidney Disease,Malerkotla,Malerkotla Prime Healthcare,Middle Age,Surgery,149196,2285,1973,86.35,4.0
4274,Asthma,Fazilka,Fazilka City Hospital,Young Adult,ICU Care,215117,1450,1160,80.0,4.3
4275,Typhoid,Khanna,Khanna Multicare Hospital,Young Adult,Radiotherapy,178382,269,233,86.62,4.0
4276,Asthma,Kapurthala,Kapurthala Prime Healthcare,Teenager,Radiotherapy,201023,2044,1550,75.83,2.9
4277,Hypertension,Mansa,Mansa City Hospital,Child,Surgery,367531,514,487,94.75,3.8
4278,Kidney Disease,Abohar,Abohar City Hospital,Young Adult,Vaccination,360167,3525,3162,89.7,4.0
4279,Liver Disease,Khanna,Khanna Multicare Hospital,Teenager,Physiotherapy,45042,2038,1587,77.87,4.6
4280,Kidney Disease,Sangrur,Sangrur City Hospital,Senior Citizen,Chemotherapy,32428,3768,3741,99.28,4.2
4281,COVID-19,Tarn Taran,Tarn Taran Multicare Hospital,Middle Age,Medication,465106,376,264,70.21,2.9
4282,Heart Disease,Sangrur,Sangrur Multicare Hospital,Young Adult,Counselling,264700,1149,693,60.31,3.3
4283,Kidney Disease,Faridkot,Faridkot Multicare Hospital,Teenager,Counselling,276078,4017,3532,87.93,4.7
4284,Hypertension,Abohar,Abohar Health Centre,Young Adult,Emergency Care,363135,2142,1908,89.08,4.3
4285,Pneumonia,Gurdaspur,Gurdaspur Prime Healthcare,Adult,Medication,159501,1479,1140,77.08,4.8
4286,COVID-19,Patiala,Patiala General Hospital,Middle Age,Radiotherapy,362665,3936,2730,69.36,2.7
4287,Typhoid,Sangrur,Sangrur City Hospital,Teenager,Emergency Care,181134,4435,2758,62.19,4.5
4288,Liver Disease,Moga,Moga Health Centre,Teenager,Vaccination,238839,3555,3402,95.7,4.8
4289,Liver Disease,Fazilka,Fazilka Prime Hospital,Middle Age,ICU Care,246709,3905,3020,77.34,3.2
4290,Pneumonia,Faridkot,Faridkot Life Care Centre,Adult,Radiotherapy,41318,1980,1472,74.34,2.5
4291,COVID-19,Nawanshahr,Nawanshahr Health Centre,Middle Age,Chemotherapy,223076,76,66,86.84,4.9
4292,COVID-19,Sangrur,Sangrur Health Centre,Adult,Dialysis,352858,574,522,90.94,4.0
4293,Thyroid Disorder,Gurdaspur,Gurdaspur Prime Healthcare,Teenager,ICU Care,321046,272,177,65.07,2.9
4294,Pneumonia,Gurdaspur,Gurdaspur Life Care Hospital,Young Adult,Emergency Care,321692,2035,1653,81.23,4.3
4295,Dengue,Khanna,Khanna Multicare Hospital,Child,Surgery,193817,3405,3178,93.33,4.5
4296,Heart Disease,Bathinda,Bathinda Medical Point,Senior Citizen,Chemotherapy,459983,558,541,96.95,3.7
4297,Tuberculosis,Khanna,Khanna Prime Healthcare,Middle Age,Radiotherapy,276822,297,288,96.97,3.3
4298,Dengue,Pathankot,Pathankot City Hospital,Child,Physiotherapy,375437,1119,901,80.52,4.1
4299,Asthma,Firozpur,Firozpur Health Centre,Child,Chemotherapy,443827,3654,3574,97.81,2.9
4300,Hypertension,Tarn Taran,Tarn Taran Prime Hospital,Middle Age,Vaccination,338310,1376,1116,81.1,3.2
4301,Asthma,Moga,Moga Prime Healthcare,Child,Surgery,73188,676,512,75.74,3.9
4302,Kidney Disease,Amritsar,Amritsar Health Plus,Teenager,ICU Care,478997,4049,3534,87.28,4.4
4303,Dengue,Ludhiana,Ludhiana Healthcare Centre,Child,Dialysis,370404,2497,1853,74.21,4.1
4304,Kidney Disease,Fazilka,Fazilka Multicare Hospital,Adult,Vaccination,126449,2947,2654,90.06,3.3
4305,Kidney Disease,Firozpur,Firozpur City Hospital,Child,Physiotherapy,334503,4563,4130,90.51,3.8
4306,Hypertension,Faridkot,Faridkot Health Centre,Teenager,ICU Care,374566,4476,3465,77.41,3.6
4307,Malaria,Ludhiana,Ludhiana Life Hospital,Middle Age,Radiotherapy,209531,4877,4814,98.71,4.3
